,Utterance,Annotation,num=2_context=True,num=4_context=True,num=6_context=True,num=-1_context=True
0,everybody,span,sweep.,palm forward sweep.,palm in sweep.,span.
1,a normal time,span,palm down sweep.,container.,container.,container.
2,these next 76 days,span,counting on fingers,span.,span.,span.
3,through generations,palm down sweep,palm forward sweep.,palm forward sweep.,span.,palm forward sweep.
4,to come,palm forward sweep,palm up sweep.,palm forward sweep.,palm forward sweep.,palm forward sweep.
5,document,container,container.,container.,container.,container.
6,failed to guarantee women,palm in sweep,chop.,span.,span.,span.
7,who didn't own property,span,palm up sweep.,palm down sweep.,palm in sweep.,palm down sweep.
8,embedded in this document,container,container.,container.,container.,container.
9,guide future generations,span,palm up sweep.,palm forward sweep.,palm forward sweep.,palm forward sweep.
10,a democracy,container,span.,palm up sweep.,container.,container.
11,realize our highest ideals,palm forward sweep,palm up sweep.,palm up sweep.,palm up sweep.,palm up sweep.
12,civil war,container,clash.,span.,container.,container.
13,bitter struggles,container,clenched fists.,palm down sweep.,container.,container.
14,to include the voices,container,gather.,palm in sweep.,palm in sweep.,palm in sweep.
15,who had once been left out,container,sweep out.,palm in sweep.,palm in sweep.,palm down sweep.
16,by all of the people,palm in sweep,span.,span.,span.,span.
17,all 300 million of us,span,span.,span.,span.,span.
18,regardless of what we look like,palm down sweep,span.,span.,span.,span.
19,custodian of this democracy,container,container.,container.,container.,container.
20,political beliefs,span,alternating chop.,span.,container.,container.
21,so many americans,container,span.,span.,span.,span.
22,marched for,palm in sweep,palm up sweep.,palm forward sweep.,palm forward sweep.,palm forward sweep.
23,in the oval office,palm down sweep,container.,container.,container.,container.
24,my vision,container,palm up sweep.,palm up sweep.,container.,container.
25,continue my policies,span,palm up sweep.,palm down sweep.,palm forward sweep.,palm forward sweep.
26,show no interest,palm forward sweep,palm down sweep.,palm down sweep.,palm down sweep.,palm down sweep.
27,awesome power,container,palm up sweep.,palm up sweep.,container.,palm up sweep.
28,anyone but himself,palm down sweep,self-point.,palm up sweep.,palm down sweep.,palm down sweep.
29,and his friends,palm down sweep,span.,span.,span.,palm down sweep.
30,millions of jobs,palm forward sweep,span.,span.,span.,span.
31,gone,palm in sweep,palm down sweep.,palm down sweep.,palm forward sweep.,palm forward sweep.
32,unleashed,palm up sweep,palm up sweep.,palm up sweep.,palm forward sweep.,palm forward sweep.
33,badly diminished,palm in sweep,downward sweep.,palm down sweep.,palm down sweep.,palm down sweep.
34,Most of you,span,span.,span.,palm forward sweep.,palm forward sweep.
35,you'll vote at all,palm down sweep,span.,palm up sweep.,palm up sweep.,palm up sweep.
36,the direction,palm in sweep,palm forward sweep.,palm forward sweep.,palm forward sweep.,palm forward sweep.
