,Utterance,Annotation,num=2_context=True,num=4_context=True,num=6_context=True,num=-1_context=True
0,everybody,span,open arms.,palm forward sweep.,span.,span.
1,a normal time,span,palm down sweep.,palm down sweep.,palm forward sweep.,palm down sweep.
2,these next 76 days,span,counting gesture with fingers.,palm forward sweep.,palm forward sweep.,palm forward sweep.
3,through generations,palm down sweep,palm forward sweep.,palm forward sweep.,span.,span.
4,to come,palm forward sweep,palm up sweep.,palm forward sweep.,palm forward sweep.,palm forward sweep.
5,document,container,container.,container.,container.,container.
6,failed to guarantee women,palm in sweep,index finger point.,span.,span.,span.
7,who didn't own property,span,point.,palm down sweep.,palm in sweep.,palm down sweep.
8,embedded in this document,container,clenched fist.,container.,container.,container.
9,guide future generations,span,palm up sweep.,palm up sweep.,palm forward sweep.,palm forward sweep.
10,a democracy,container,open palm facing up.,palm up sweep.,palm forward sweep.,span.
11,realize our highest ideals,palm forward sweep,palm up reach.,palm up sweep.,span.,span.
12,civil war,container,crossed arms.,span.,container.,container.
13,bitter struggles,container,clenched fist.,palm down sweep.,container.,palm forward sweep.
14,to include the voices,container,open hand gesture towards the audience.,palm up sweep.,palm forward sweep.,palm forward sweep.
15,who had once been left out,container,point to the side.,span.,span.,span.
16,by all of the people,palm in sweep,open palms facing outwards.,span.,span.,span.
17,all 300 million of us,span,open arms.,span.,palm forward sweep.,palm forward sweep.
18,regardless of what we look like,palm down sweep,palm up sweep.,palm in sweep.,palm forward sweep.,palm forward sweep.
19,custodian of this democracy,container,guardian.,palm down sweep.,palm forward sweep.,container.
20,political beliefs,span,finger quotes.,span.,span.,span.
21,so many americans,container,open arms.,span.,span.,span.
22,marched for,palm in sweep,fist pump.,palm up sweep.,palm forward sweep.,palm forward sweep.
23,in the oval office,palm down sweep,point to location.,location.,container.,container.
24,my vision,container,point to self.,palm up sweep.,palm forward sweep.,container.
25,continue my policies,span,palm forward sweep.,palm forward sweep.,palm forward sweep.,container.
26,show no interest,palm forward sweep,shake head.,palm down shake.,palm up shrug.,palm down sweep.
27,awesome power,container,both hands open and raised up.,palm up sweep.,palm up sweep.,palm up sweep.
28,anyone but himself,palm down sweep,point to self.,point to self.,palm forward sweep.,palm forward sweep.
29,and his friends,palm down sweep,point.,span.,container.,span.
30,millions of jobs,palm forward sweep,"open hands with fingers spread, palms facing down, moving downwards to indicate a decrease.",span.,span.,span.
31,gone,palm in sweep,palm down sweep.,palm down sweep.,palm down sweep.,palm down sweep.
32,unleashed,palm up sweep,clenched fist.,palm up sweep.,palm up sweep.,palm forward sweep.
33,badly diminished,palm in sweep,downward hand motion.,palm down sweep.,palm down sweep.,palm down sweep.
34,Most of you,span,point to the audience.,span.,span.,span.
35,you'll vote at all,palm down sweep,palm up shrug.,palm down sweep.,palm forward sweep.,palm forward sweep.
36,the direction,palm in sweep,point forward.,palm down sweep.,palm forward sweep.,palm forward sweep.
